category,address,price
"Appartement 2 pièces 45 m²
Lille 59000 (Fives)",Lille 59000 (Fives),113 800 €
"Appartement 4 pièces 119 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",Lille 59800 (Saint-Maurice - Pellevoisin),399 990 €
"Appartement 4 pièces 100 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),443 500 €
"Maison 3 pièces 42 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),118 500 €
"Appartement 3 pièces 95 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),340 000 €
"Appartement 2 pièces 35 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),125 465 €
"Appartement 1 pièce 21 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),76 200 €
"Appartement 2 pièces 56 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),195 000 €
"Appartement 3 pièces 90 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),450 000 €
"Appartement 2 pièces 43 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),150 000 €
"Maison 5 pièces 147 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),599 000 €
"Appartement 3 pièces 62 m²
Lille 59000 (Mont à Camp - Marais)",Lille 59000 (Mont à Camp - Marais),262 310 €
"Maison 4 pièces 180 m²
Lille 59000 (Fives)",Lille 59000 (Fives),680 000 €
"Appartement 4 pièces 85 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),261 000 €
"Maison 7 pièces 260 m²
Lomme 59160 (Mitterie)",Lomme 59160 (Mitterie),797 000 €
"Appartement 1 pièce 82 m²
Lille 59000 (Fives)",Lille 59000 (Fives),162 000 €
"Appartement 1 pièce 150 m²
Lille 59000 (Fives)",Lille 59000 (Fives),205 000 €
"Appartement 3 pièces 73 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),220 000 €
"Appartement 3 pièces 82 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),299 000 €
"Maison 8 pièces 200 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),567 300 €
"Appartement 3 pièces 65 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),238 500 €
"Appartement 2 pièces 39 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),113 900 €
"Appartement 1 pièce 19 m²
Lille 59000 (Faubourg de Béthune)",Lille 59000 (Faubourg de Béthune),52 000 €
"Appartement 2 pièces 49 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),189 000 €
"Appartement 4 pièces 136 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),483 000 €
"Maison 4 pièces 93 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),192 000 €
"Appartement 2 pièces 43 m²
Lomme 59160 (Mont à Camp - Marais)",Lomme 59160 (Mont à Camp - Marais),162 481 €
"Duplex 5 pièces 105 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),380 000 €
"Appartement 2 pièces 40 m²
Lomme 59160 (Mitterie)",Lomme 59160 (Mitterie),107 000 €
"Appartement 4 pièces 77 m²
Lille 59800 (Vauban - Esquermes)",Lille 59800 (Vauban - Esquermes),299 000 €
"Appartement 3 pièces 64 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),190 000 €
"Maison 1 pièce 113 m²
Lille 59000 (Fives)",Lille 59000 (Fives),180 000 €
"Duplex 4 pièces 101 m²
Lille 59000 (Vieux Lille)",Lille 59000 (Vieux Lille),483 000 €
"Appartement 4 pièces 83 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),185 500 €
"Studio 17 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),97 000 €
"Appartement 3 pièces 66 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),233 500 €
"Appartement 4 pièces 99 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),275 000 €
"Maison 4 pièces 117 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",Lille 59800 (Saint-Maurice - Pellevoisin),325 500 €
"Appartement 3 pièces 68 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),364 000 €
"Appartement 4 pièces 90 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),347 000 €
"Appartement 2 pièces 48 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),188 000 €
"Appartement 2 pièces 46 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),180 000 €
