Property type,Listing type,Locality,Number of rooms,Area,Price,Negotiable price,Per Square Meter,Latitude,Longitude
Appartement,Rental,Vauban_Esquermes,2,52,540,No,10.38461538,50.63005,3.042561
Appartement,Rental,Hellemmes_,2,43,470,No,10.93023256,50.629241,3.110993
Appartement,Rental,Wazemmes,1,26,1245,No,47.88461538,50.62383,3.047664
VILLA,Rental,Centre_ville_Euralille,4,83,500,No,6.024096386,50.634672,3.071724
Studio,Rental,Centre_ville_Euralille,1,26,1060,No,40.76923077,50.634672,3.071724
Appartement,Rental,Saint_Maurice_Pellevoisin,3,76,798,No,10.5,50.644111,3.087731
Appartement,Rental,Moulins,2,56,932,No,16.64285714,50.618989,3.066337
Appartement,Rental,Moulins,3,75,1060,No,14.13333333,50.618989,3.066337
Appartement,Rental,Moulins,4,97,526,No,5.422680412,50.618989,3.066337
Studio,Rental,Wazemmes,1,31,720,No,23.22580645,50.62383,3.047664
Appartement,Rental,Bois_Blanc,2,56,1212,No,21.64285714,50.630383,3.026585
Appartement,Rental,Moulins,5,113,669,No,5.920353982,50.618989,3.066337
Appartement,Rental,Hellemmes_,2,58,790,No,13.62068966,50.629241,3.110993
Appartement,Rental,Centre_ville_Euralille,3,65,757,No,11.64615385,50.634672,3.071724
Appartement,Rental,Centre_ville_Euralille,2,50,630,No,12.6,50.634672,3.071724
Appartement,Rental,Moulins,3,65,605,No,9.307692308,50.618989,3.066337
Studio,Rental,Centre_ville_Euralille,1,29,427,No,14.72413793,50.634672,3.071724
Studio,Rental,Vauban_Esquermes,1,18,300,No,16.66666667,50.63005,3.042561
Appartement,Rental,Centre_ville_Euralille,1,9,810,No,90,50.634672,3.071724
Appartement,Rental,Saint_Maurice_Pellevoisin,3,64,490,No,7.65625,50.644111,3.087731
Appartement,Rental,Moulins,1,18,2505,No,139.1666667,50.618989,3.066337
Appartement,Rental,Centre_ville_Euralille,6,204,582,No,2.852941176,50.634672,3.071724
Appartement,Rental,Lille_Sud,2,50,458,No,9.16,50.609095,3.040395
Appartement,Rental,Fives,2,19,801,No,42.15789474,50.628545,3.090331
Appartement,Rental,Moulins,2,56,947,No,16.91071429,50.618989,3.066337
Appartement,Rental,Moulins,3,75,1450,No,19.33333333,50.618989,3.066337
Appartement,Rental,Wazemmes,6,176,445,No,2.528409091,50.62383,3.047664
Studio,Rental,Moulins,1,21,750,No,35.71428571,50.618989,3.066337
Appartement,Rental,Vauban_Esquermes,3,54,663,No,12.27777778,50.63005,3.042561
Appartement,Rental,Moulins,2,41,801,No,19.53658537,50.618989,3.066337
Appartement,Rental,Moulins,2,56,898,No,16.03571429,50.618989,3.066337
Appartement,Rental,Lille_Sud,4,103,670,No,6.504854369,50.609095,3.040395
Appartement,Rental,Vauban_Esquermes,2,46,953,No,20.7173913,50.63005,3.042561
Appartement,New Property,Vieux_Lille,3,68,214025.5,Yes,3147.433824,50.642801,3.059485
Appartement,New Property,Lille_Sud,2,67,277500,Yes,4141.791045,50.609095,3.040395
Appartement,New Property,Bourg_Délivrance,1,54,246360,Yes,4562.222222,50.645721,2.984393
Appartement,New Property,Lille_Sud,2,43,257000,Yes,5976.744186,50.609095,3.040395
Appartement,New Property,Lille_Sud,1,60,535000,Yes,8916.666667,50.609095,3.040395
VILLA,New Property,Centre_ville_Euralille,3,42,240000,Yes,5714.285714,50.634672,3.071724
Appartement,New Property,Moulins,3,38,161000,Yes,4236.842105,50.618989,3.066337
Appartement,New Property,Fives,1,38,223000,Yes,5868.421053,50.628545,3.090331
Appartement,New Property,Centre_ville_Euralille,2,49,250500,Yes,5112.244898,50.634672,3.071724
Appartement,New Property,Hellemmes_,3,36,192388.5,Yes,5344.125,50.629241,3.110993
Appartement,New Property,Centre_ville_Euralille,3,47,495500,Yes,10542.55319,50.634672,3.071724
Appartement,New Property,Centre_ville_Euralille,3,42,377500,Yes,8988.095238,50.634672,3.071724
Appartement,New Property,Saint_Maurice_Pellevoisin,3,38,204000,Yes,5368.421053,50.644111,3.087731
Appartement,New Property,Bourg_Délivrance,2,58,345400,No,5955.172414,50.645721,2.984393
Appartement,New Property,Moulins,4,83,161447.5,Yes,1945.150602,50.618989,3.066337
Appartement,New Property,Lille_Sud,2,41,342900,No,8363.414634,50.609095,3.040395
Appartement,New Property,Bourg_Délivrance,4,83,389000,Yes,4686.746988,50.645721,2.984393
